channelId,channelName,umbrellaLabel,score,margin,top3
UC9r9HYFxEQOBXSopFS61ZWg,"MeidasTouch","Unclassified",0.0917,0.015,"Finance:0.092|News:0.077|Video Editing:0.000"
UCwpHKudUkP5tNgmMdexB3ow,"Mentour Pilot","Unclassified",0.1291,0.0601,"Aviation:0.129|Film & TV:0.069|Finance:0.069"
UCru5yi7yq_Y8Q4Ye4eB0r2Q,"MHFIN","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UC1vts8sER8VOrgh9L8RyBOQ,"Michael Ramsey:                       On The Riser","Unclassified",0.0603,0.0048,"Photography:0.060|Music:0.055|Video Editing:0.000"
UCqBERDzM6ZcovT1s01kIrVg,"Michigan Foot Doctors","Unclassified",0.0524,0.014,"Health:0.052|Music:0.038|AI:0.000"
UCFtEEv80fQVKkD4h1PF-Xqw,"Microsoft","Unclassified",0.1515,0.032,"Tech:0.152|Business:0.120|AI:0.000"
UCJ9905MRHxwLZ2jeNQGIWxA,"Microsoft Mechanics","Tech",0.2117,0.1804,"Tech:0.212|News:0.031|Business:0.031"
UCVGVbOl6F5rGF4wSYS6Y5yQ,"MIgardener","Unclassified",0.0432,0.0064,"Gardening:0.043|Photography:0.037|Woodworking:0.037"
UCYEiWHoP2IHHgjOapTAYMQw,"Mike Russell","Unclassified",0.0976,0.0159,"Film & TV:0.098|Gaming:0.082|Music:0.072"
UCh35n5aqG8fF2tXXEtDd0EQ,"Military News","Unclassified (sparse)",0,0,""
UC_P_VjGqCyjQyCwBUPu4lHg,"Milo Andreo","Unclassified",0.1006,0.0382,"Comedy:0.101|Music:0.062|Coding:0.039"
UCYenDLnIHsoqQ6smwKXQ7Hg,"#Mind Warehouse","Unclassified (sparse)",0,0,""
UCUHW94eEFW7hkUMVaZz4eDg,"minutephysics","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UC8sibhG707qg5AlVlj5P3mw,"Momentum Productions","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCmIxjdhwpUI5lDoslfDqcPQ,"Money on The Side","Business",0.2252,0.1803,"Business:0.225|Film & TV:0.045|AI:0.000"
UCSL3dIAj0iMBz1V4Rz-AUFA,"MOTIV8","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCs26XZBwrSZLiTEH8wcoVXw,"Moz","Unclassified",0.1732,0.0846,"Business:0.173|AI:0.089|Health:0.069"
UCaVp-iXRPfiSxbkhmi56IHQ,"MrMBB333","Unclassified",0.0439,0.0439,"AI:0.044|Video Editing:0.000|Photography:0.000"
UCaXkIU1QidjPwiAYu6GcHjg,"MSNBC","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UC-9-kyTW8ZkZNDHQJ6FgpwQ,"Music","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Tech:0.000"
UCV-gQcOtKcxOPaPk1MVe4jQ,"Music Shed","Unclassified (sparse)",0,0,""
UC5ve4DxNMLRXOetCYWFUkYw,"Música Progressiva","Unclassified",0.057,0.057,"Photography:0.057|AI:0.000|Video Editing:0.000"
UC8JT2m0mKEgvEtie3JNKwew,"Naked Science","Unclassified",0.0535,0.0535,"Finance:0.053|AI:0.000|Video Editing:0.000"
UC-_eueKsPcJUPnCguEufWPA,"Nate's Tech","Unclassified (sparse)",0,0,""
UC_7KM3ANRHy2zhQ_zl-C4XQ,"Nathan Cool Photo","Unclassified",0.1421,0.0711,"Woodworking:0.142|Photography:0.071|AI:0.000"
UC0Z-E_L3z_JLVNuFoS8fefA,"National Park Diaries","Unclassified",0.1218,0.1056,"Music:0.122|Coding:0.016|AI:0.000"
UCejgtTHroWI5sF_2-fuiF4Q,"Nature's Always Right","Unclassified",0.1,0.0574,"Gardening:0.100|Photography:0.043|Tech:0.038"
UCqZQlzSHbVJrwrn5XvzrzcA,"NBC Sports","Unclassified",0.0338,0.0157,"Coding:0.034|Music:0.018|AI:0.000"
UCl-Zrl0QhF66lu1aGXaTbfw,"Neil Patel","Unclassified",0.0913,0.0913,"Business:0.091|AI:0.000|Video Editing:0.000"
UCtYKe7-XbaDjpUwcU5x0bLg,"neo","Unclassified",0.0725,0.0725,"News:0.073|AI:0.000|Video Editing:0.000"
UCCjG8NtOig0USdrT5D1FpxQ,"NewsNation","Unclassified",0.0674,0.0674,"Business:0.067|AI:0.000|Video Editing:0.000"
UCcJceGUaevGlP7s2xzL9akA,"Next Level Gardening","Unclassified",0.0739,0.0504,"Gaming:0.074|Home Repair:0.023|Tech:0.021"
UCunQ-SNSI9uOZwrb62po_tQ,"Next Level Riding Clinics","Unclassified",0.1482,0.1482,"Gaming:0.148|AI:0.000|Video Editing:0.000"
UCRmm7T6mAm-QBNvnEaIl3AA,"Nick Johnston","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCxv1rK6prSp2aoNqNyxD_Vg,"Nick Page","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCX9mv-ifhUnNrRi8qdscFeQ,"Nick Powell Photography","Unclassified",0.0698,0.0248,"Comedy:0.070|Construction:0.045|AI:0.000"
UCbo-KbSjJDG6JWQ_MTZ_rNA,"Nick Saraev","Unclassified",0.0877,0.0598,"Business:0.088|Photography:0.028|Woodworking:0.028"
UCxMoaKZtWKFuHGr7LIInOOQ,"Nick Stephenson","Unclassified",0.0877,0.0585,"Business:0.088|Gaming:0.029|Construction:0.027"
UCkJld-AoXurbT2jDnfM8qiA,"Nigel Danson","Unclassified",0.11,0.0698,"Construction:0.110|News:0.040|Photography:0.038"
UCPhq7iR65k0gWcraXgLiY1A,"Nigel John Stanford","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCM2FoYtC-2PQzMr_gDfQnHg,"No Film School","Film & TV",0.275,0.275,"Film & TV:0.275|AI:0.000|Video Editing:0.000"
UCFPzKZg-By8_DtBJiEDLcJw,"NOAPOLOGY","Unclassified",0.0981,0.0448,"Music:0.098|Home Repair:0.053|Coding:0.046"
UCUowDOg5xfSWV0hUYeUUbfw,"Notepirate","Unclassified",0.0336,0.002,"Coding:0.034|AI:0.032|Video Editing:0.000"
UCjHz5SVHeMT0AViCYZvsGDA,"NOVA PBS Official","Unclassified",0.0256,0.0032,"News:0.026|Music:0.022|AI:0.000"
UC2mLN9pZNE8_ccLHmA1SHvA,"NovationHelp","Unclassified (sparse)",0,0,""
UC4eYXhJI4-7wSWc8UNRwD4A,"NPR Music","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCHvSoleJlpzZYEHpcn32Xng,"NWVideoTours","Unclassified (sparse)",0,0,""
UCAhcelYvyDAPy0cn_sscWkw,"Off Grid In The Pacific North West","Unclassified",0.1257,0.0445,"Comedy:0.126|Construction:0.081|News:0.030"
UC5kQUZFCbuZQorVnzS6P_xA,"Olivier Girard - the Posture Guy","Unclassified",0.0292,0.0054,"Aviation:0.029|Construction:0.024|AI:0.000"
UCdYVQ4i7eZD_GJkL4yxkKCw,"Olufemii","Unclassified",0.0431,0.0431,"Photography:0.043|AI:0.000|Video Editing:0.000"
UC8JracmfBuygk-myx7lVZnw,"On the House - Real Estate Marketing","Unclassified",0.1519,0.1036,"Business:0.152|Woodworking:0.048|Film & TV:0.030"
UC0XRm3cLtvjjceli-Oa1X2Q,"ONSCENE TV","Unclassified",0.1225,0.1225,"News:0.122|AI:0.000|Video Editing:0.000"
UCwpRQ_NrBJvGlwCG__qy9Og,"Ordinary Filmmaker","Unclassified",0.1616,0.1096,"Photography:0.162|AI:0.052|News:0.034"
UC2itzMBo0R0kHZ8cF7nrcaA,"Oregon Public Broadcasting","Unclassified",0.033,0,"Business:0.033|Gaming:0.033|Construction:0.030"
UCeE3lj6pLX_gCd0Yvns517Q,"Ozzy Man Reviews","Unclassified",0.0668,0.0668,"Film & TV:0.067|AI:0.000|Video Editing:0.000"
UCSxR0IZEq1WhTJqAnQGyk4g,"Pacific Northwest Weather Watch","Unclassified",0.069,0.069,"Film & TV:0.069|AI:0.000|Video Editing:0.000"
UCTQnU1zyhvwscc2P5QS-tLw,"Pakman Live","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCs030M7gu_Pi2ag9a12oa8w,"Pan Rocks!","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCrRttZIypNTA1Mrfwo745Sg,"Paramount Plus","Unclassified",0.0389,0.0127,"Comedy:0.039|Photography:0.026|Construction:0.025"
UCQhuXR2O6MpsCHfByBiF10Q,"Pavement Repair Products Co.","Unclassified",0.0546,0.0188,"Construction:0.055|Film & TV:0.036|AI:0.000"
UCpxYSWgxVt3Pyn1ovXsGQ0g,"PBS Terra","Unclassified",0.072,0.0436,"Tech:0.072|Business:0.028|AI:0.000"
UCkRhsBbu0tvQrXBtvpl0kIg,"Peaches Skin Care","Unclassified",0.0293,0.0022,"Construction:0.029|Tech:0.027|AI:0.000"
UCI6GYwCv9ZFkoiUgobwcLzQ,"Performance AI","Finance",0.2268,0.1635,"Finance:0.227|Business:0.063|AI:0.000"
UC4hELpI0Zw3t7ASEGkgkmZA,"Peter Barber","Unclassified",0.0716,0.0716,"Music:0.072|AI:0.000|Video Editing:0.000"
UCaPZyvqGjmxdTUYhyf1zEkQ,"Peter Leyden","Unclassified",0.0415,0.0214,"Coding:0.041|Video Editing:0.020|Tech:0.000"
UCtM-xct7QQx0dL-swaMzYbg,"Peter Lindgren","Video Editing",0.6644,0.5765,"Video Editing:0.664|3D Printing:0.088|Photography:0.050"
UCXElBPBCkhdDWMmCPMFq_6A,"Peter Makholm","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UC3DkFux8Iv-aYnTRWzwaiBA,"Peter McKinnon","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCbOh7f6EoY4K-2Vvii-17xg,"PHANTOM","Unclassified (sparse)",0,0,""
UC9n0tUXP7QB5ALfg3PFO19A,"Photography Pro","Unclassified",0.1515,0.1211,"Video Editing:0.152|Photography:0.030|AI:0.000"
